brand_name,model_name,os,popularity,best_price,lowest_price,highest_price,screen_size,memory_size,battery_size,release_date
Astro,B200RX (White),,390,646,552,799,2,0.064,1300,May-16
Astro,B200RX (Yellow),,599,655,532,799,2,0.064,1300,May-16
ERGO,B241 Black,,448,400,375,433,2.4,0.032,1200,Dec-20
CAT,B26 Black,,1084,1488,1330,1819,2.4,,1500,Dec-19
ERGO,B505 Unit 4G Dual Sim Black,Android,49,1715,,,5,8,2500,Dec-18
DOOGEE,BL5000 Black (6924351609900),Android,25,3107,,,5.5,64,5050,Aug-17
DOOGEE,BL5000 Black (6924351609900),Android,94,3107,,,5.5,64,5050,Aug-17
DOOGEE,BL5500 Lite 2/16GB Dual Sim Gold,Android,540,2323,2099,2548,6.19,16,5500,Jan-19
Blackview,BV1000 Black,,688,992,900,1186,2.4,0.032,3000,Jan-19
Blackview,BV4900 3/32GB Black,Android,877,2974,2819,3199,5.7,32,5580,Nov-20
Blackview,BV4900 Pro 4/64GB Orange,Android,869,3474,3333,3719,5.7,64,5580,Jan-21
Blackview,BV5100 4/128GB Green,Android,515,4727,4610,5099,5.7,128,5580,Dec-20
Blackview,BV5100 Pro 4/128GB Black,Android,138,6789,5999,7838,5.7,128,5580,Jan-21
Blackview,BV5500 2/16GB Black,Android,772,2596,2149,3099,5.5,16,4400,Feb-19
Blackview,BV5500 Plus 3/32GB Black,Android,1023,2720,2560,3040,5.5,32,4400,Jun-20
Blackview,BV5500 Pro 3/16GB Black,Android,553,3566,2629,3800,5.5,16,4400,Jun-19
Blackview,BV5500 Pro 3/16GB Black,Android,548,3566,2629,3800,5.5,16,4400,Jun-19
Blackview,BV5800 Pro 2/16GB Black,Android,425,2394,,,5.5,16,5580,Sep-18
Blackview,BV5900 3/32GB Black,Android,659,3668,3447,4389,5.7,32,5580,Dec-19
Blackview,BV6100 3/16GB Black,Android,806,3386,3190,3895,6.88,16,5580,Sep-19
Blackview,BV6300 3/32GB Black,Android,849,3762,3590,4674,5.7,32,4380,Nov-20
Blackview,BV6300 Pro 6/128GB Black,Android,882,5418,5199,5873,5.7,128,4380,Aug-20
Blackview,BV6800 Pro 4/64GB Black,Android,821,6801,4640,7399,5.7,64,6580,Nov-18
Blackview,BV6900 4/64GB Black,Android,764,4793,4670,5472,5.84,64,5580,Jul-20
Blackview,BV8000 Pro Lion Gold,Android,536,4584,4440,5130,5,64,4180,Jul-17
Blackview,BV8000 Pro Lion Gold,Android,525,4584,4440,5130,5,64,4180,Jul-17
Blackview,BV9100 4/64GB Black,Android,954,5355,5150,5850,6.3,64,13000,Oct-19
Blackview,BV9500 Black,Android,562,6356,5780,6929,5.7,64,10000,Sep-18
Blackview,BV9500 Plus 4/64GB Black,Android,792,5851,5649,6119,5.7,64,10000,Oct-19
Blackview,BV9500 Pro 6/128GB Black,Android,612,8087,7398,11924,5.7,128,10000,Oct-18
Blackview,BV9600 4/64GB Silver,Android,104,6072,5910,6349,6.21,64,5580,Aug-19
Blackview,BV9600 4/64GB Silver,Android,129,6072,5910,6349,6.21,64,5580,Aug-19
Blackview,BV9600 Pro 6/128GB Black,Android,373,6898,6730,7165,6.21,128,5580,Feb-19
Blackview,BV9600 Pro 6/128GB Black,Android,355,6898,6730,7165,6.21,128,5580,Feb-19
Blackview,BV9600E 4/128GB Grey,Android,533,6126,5899,7011,6.21,128,5580,Jun-20
Blackview,BV9700 Pro 6/128GB Black,Android,898,6967,6790,7289,5.84,128,4380,Aug-19
Blackview,BV9700 Pro 6/128GB Black + Night Vision Camera,Android,77,7686,7599,7860,5.84,128,4380,Aug-19
Blackview,BV9800 6/128Gb Black,Android,293,10064,9760,10499,6.3,128,6580,Feb-20
Blackview,BV9800 6/128Gb Black,Android,332,10064,9760,10499,6.3,128,6580,Feb-20
Blackview,BV9800 Pro 6/128GB Orange,Android,879,10436,9949,11258,6.3,128,6580,May-20
Blackview,BV9900 8/256GB Black,Android,732,9916,9536,10611,5.84,256,4380,May-20
Blackview,BV9900 Pro 8/128GB Gray,Android,802,12667,12077,14279,5.84,128,4380,Jun-20
Blackview,BV9900E 6/128GB Black,Android,918,7608,7380,7999,5.84,128,4380,Nov-20
UMIDIGI,Bison 6/128GB Red,Android,884,4994,4940,5049,6.3,128,5000,Dec-20
Xiaomi,Black Shark 2 Pro 8/128GB Black,Android,150,15149,14999,15299,6.39,128,4000,Nov-19
Xiaomi,Black Shark 2 Pro 8/128GB Iceberg Grey,Android,43,15399,14910,15999,6.39,128,4000,Nov-19
Xiaomi,Black Shark 3 12/256GB Black,Android,726,18319,17400,18999,6.67,256,4720,Jul-20
Xiaomi,Black Shark 3 8/128GB Black,Android,1098,13846,13151,14999,6.67,128,4720,Jun-20
Xiaomi,Black Shark 8/128GB Black,Android,53,13146,,,5.99,128,4000,May-18
ZTE,Blade 20 Smart 4/128GB Gradient Green,Android,1083,4152,3745,4417,6.49,128,5000,Dec-19
ZTE,Blade A3 2020 1/32GB Blue,Android,700,2016,1839,2229,5.45,32,2600,Mar-20
